Opening Name,Line
Pirc Defense: Main Line,1.e4 d6 2.d4 Nf6 3.Nc3 g6
Ruy López Opening: Bird's Defense,1.e4 e5 2.Nf3 Nc6 3.Bb5 Nd4
Modern Defense: Pterodactyl Defense with 3.c4,1.e4 g6 2.d4 Bg7 3.c4 c5
Dutch Defense: Leningrad Variation,1.d4 f5 2.c4 Nf6 3.g3 g6
Ruy López Opening: Jaenisch Gambit,1.e4 e5 2.Nf3 Nc6 3.Bb5 f5
Giuoco Piano Game,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5
Caro-Kann Defense: Gurgenidze System,1.e4 c6 2.d4 d5 3.Nc3 g6
"Torre Attack: Classical Defense, Nimzowitsch Variation",1.d4 Nf6 2.Nf3 e6 3.Bg5 h6
"French Defense: Tarrasch, Morozevich Variation",1.e4 e6 2.d4 d5 3.Nd2 Be7
"Indian Game: Spielmann-Indian, Pseudo-Benko Variation",1.d4 Nf6 2.Nf3 c5 3.d5 b5
Ruy López Opening: Old Steinitz Defense,1.e4 e5 2.Nf3 Nc6 3.Bb5 d6
Italian Game: Two Knights Defense,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6
King's Indian Attack: French Variation,1.Nf3 d5 2.g3 c5 3.Bg2 Nc6
Queen's Gambit Accepted: Gunsberg Defense with 3...c5,1.d4 d5 2.c4 dxc4 3.Nf3 c5
Benoni Defense: Czech Variation,1.d4 Nf6 2.c4 c5 3.d5 e5
French Defense: Winawer Variation,1.e4 e6 2.d4 d5 3.Nc3 Bb4
"King's Indian Defense: Alekhine Anti-Grünfeld, Neo-Grünfeld Defense, Goglidze Attack",1.d4 Nf6 2.c4 g6 3.f3 d5
Ruy López Opening: Classical Defense,1.e4 e5 2.Nf3 Nc6 3.Bb5 Bc5
Ruy López Opening: Morphy Defense,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6
"Caro-Kann Defense: Advance, Botvinnik-Carls Defense",1.e4 c6 2.d4 d5 3.e5 c5
Sicilian Defense: Anti-Qxd4 Move-Order,1.e4 c5 2.Nf3 d6 3.d4 Nf6
"Slav Defense: Modern, Triangle System",1.d4 d5 2.c4 c6 3.Nf3 e6
"Slav Defense: Modern, Triangle System",1.d4 d5 2.c4 e6 3.Nf3 c6
Italian Game: Hungarian Defense,1.e4 e5 2.Nf3 Nc6 3.Bc4 Be7
"English Opening: Anglo-Indian, Queen's Indian Formation",1.c4 Nf6 2.Nc3 e6 3.Nf3 b6
French Defense: Classical Variation,1.e4 e6 2.d4 d5 3.Nc3 Nf6
English Opening: Nimzo-English Opening,1.c4 Nf6 2.Nc3 e6 3.Nf3 Bb4
"Scandinavian Defense: Mieses-Kotrč, Main Line",1.e4 d5 2.exd5 Qxd5 3.Nc3 Qa5
"Scandinavian Defense: Mieses-Kotrč, Gubinsky-Melts Defense",1.e4 d5 2.exd5 Qxd5 3.Nc3 Qd6
"Modern Defense: Standard, Pterodactyl Defense",1.e4 g6 2.d4 Bg7 3.Nc3 c5
Philidor Defense: Hanham Variation,1.e4 e5 2.Nf3 d6 3.d4 Nd7
"English Opening: Symmetrical, Four Knights Variation",1.c4 c5 2.Nc3 Nc6 3.Nf3 Nf6
"English Opening: Agincourt, Romanishin Variation",1.c4 e6 2.Nf3 Nf6 3.g3 a6
"Queen's Pawn Opening: Torre, Gossip Variation",1.d4 d5 2.Nf3 Nf6 3.Bg5 Ne4
Center Game Accepted: Normal Variation,1.e4 e5 2.d4 exd4 3.Qxd4 Nc6
"English Opening: Agincourt, Romanishin Variation",1.c4 Nf6 2.Nf3 e6 3.g3 a6
Torre Attack: Fianchetto Defense,1.d4 Nf6 2.Nf3 g6 3.Bg5 Bg7
English Opening: Nimzo-English Opening,1.c4 Nf6 2.Nc3 e6 3.Nf3 Bb4
French Defense: Classical Variation,1.e4 e6 2.d4 d5 3.Nc3 Nf6
"English Opening: Anglo-Indian, Queen's Indian Formation",1.c4 Nf6 2.Nc3 e6 3.Nf3 b6
Italian Game: Hungarian Defense,1.e4 e5 2.Nf3 Nc6 3.Bc4 Be7
"Slav Defense: Modern, Triangle System",1.d4 d5 2.c4 e6 3.Nf3 c6
"Slav Defense: Modern, Triangle System",1.d4 d5 2.c4 c6 3.Nf3 e6
Sicilian Defense: Anti-Qxd4 Move-Order,1.e4 c5 2.Nf3 d6 3.d4 Nf6
"Caro-Kann Defense: Advance, Botvinnik-Carls Defense",1.e4 c6 2.d4 d5 3.e5 c5
Ruy López Opening: Morphy Defense,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6
Ruy López Opening: Classical Defense,1.e4 e5 2.Nf3 Nc6 3.Bb5 Bc5
"King's Indian Defense: Alekhine Anti-Grünfeld, Neo-Grünfeld Defense, Goglidze Attack",1.d4 Nf6 2.c4 g6 3.f3 d5
"Modern Defense: Rat Defense, Accelerated Gurgenidze Variation",1.e4 g6 2.d4 d6 3.Nc3 c6
French Defense: Rubinstein Variation,1.d4 d5 2.e4 dxe4 3.Nc3 e6
Benoni Defense: Hromádka System,1.d4 Nf6 2.c4 c5 3.d5 d6
"English Opening: Carls-Bremen, Smyslov System",1.c4 e5 2.Nc3 Nf6 3.g3 Bb4
Ponziani Opening: Jaenisch Counterattack,1.e4 e5 2.Nf3 Nc6 3.c3 Nf6
"Sicilian Defense: Smith-Morra Gambit Declined, Alapin Formation",1.e4 c5 2.d4 cxd4 3.c3 Nf6
"Caro-Kann Defense: Two Knights, Mindeno Variation",1.e4 c6 2.Nc3 d5 3.Nf3 Bg4
English Opening: Four Knights Variation,1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6
Queen's Indian Defense,1.d4 Nf6 2.c4 e6 3.Nf3 b6
Pirc Defense: Czech Defense,1.e4 d6 2.d4 Nf6 3.Nc3 c6
"English Opening: Mikėnas-Carls, Sicilian Variation",1.c4 Nf6 2.Nc3 e6 3.e4 c5
"Queen's Gambit Declined: Semi-Slav Defense, Accelerated Move-Order",1.d4 d5 2.c4 e6 3.Nc3 c6
Queen's Gambit Accepted: Rosenthal Variation,1.d4 d5 2.c4 dxc4 3.Nf3 e6
Lion Defense,1.e4 d6 2.d4 Nf6 3.Nc3 Nbd7
English Opening: Four Knights Variation,1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6
"Caro-Kann Defense: Two Knights, Mindeno Variation",1.e4 c6 2.Nc3 d5 3.Nf3 Bg4
"Sicilian Defense: Smith-Morra Gambit Declined, Alapin Formation",1.e4 c5 2.d4 cxd4 3.c3 Nf6
Ponziani Opening: Jaenisch Counterattack,1.e4 e5 2.Nf3 Nc6 3.c3 Nf6
"English Opening: Carls-Bremen, Smyslov System",1.c4 e5 2.Nc3 Nf6 3.g3 Bb4
Benoni Defense: Hromádka System,1.d4 Nf6 2.c4 c5 3.d5 d6
French Defense: Rubinstein Variation,1.d4 d5 2.e4 dxe4 3.Nc3 e6
"Pirc Defense: Main Line, Austrian Attack",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4
"Alekhine's Defense: Two Pawns, Lasker Variation",1.e4 Nf6 2.e5 Nd5 3.c4 Nb6 4.c5
"Slav Defense: Modern, Exchange Variation",1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.cxd5
"French Defense: Knight Variation, Wing Gambit",1.e4 e6 2.Nf3 d5 3.e5 c5 4.b4
Budapest Gambit: Adler Variation,1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.Nf3
"French Defense: Winawer, Delayed Exchange Variation",1.e4 e6 2.d4 d5 3.Nc3 Bb4 4.exd5
Benko Gambit Declined: Main Line,1.d4 Nf6 2.c4 c5 3.d5 b5 4.Nf3
"Bishop's Opening: Berlin, Spielmann Attack",1.e4 e5 2.Bc4 Nf6 3.d3 Bc5 4.Nc3
Four Knights Game: Gunsberg Variation,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.a3
Grünfeld Defense: Brinckmann Attack,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Bf4
"English Opening: Four Knights, Flexible Line",1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.d3
King's Indian Defense: Smyslov Variation,1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.Bg5
"Modern Defense: Pterodactyl, Central Benoni Variation",1.e4 g6 2.d4 Bg7 3.c4 c5 4.d5
"Bishop's Opening: Berlin, Vienna Hybrid Variation",1.e4 e5 2.Bc4 Nf6 3.d3 Nc6 4.Nc3
Grünfeld Defense: Schlechter Variation,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.e3
"English Opening: Four Knights, Korchnoi Line",1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.a3
"Petrov's Defense: Steinitz Attack, Symmetrical, Center Variation",1.e4 e5 2.Nf3 Nf6 3.d4 Nxe4 4.Bd3
"Ruy López Opening: Morphy Defense, Columbus Variation",1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4
Pirc Defense: Semi-Classical Variation,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Be2
"Alekhine's Defense: Two Pawns, Lasker Variation",1.e4 Nf6 2.e5 Nd5 3.c4 Nb6 4.c5
"English Opening: Four Knights, Korchnoi Line",1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.a3
"Modern Defense: Pterodactyl, Central Benoni Variation",1.e4 g6 2.d4 Bg7 3.c4 c5 4.d5
Italian Game: Knight Attack,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5
Four Knights Game: Gunsberg Variation,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.a3
"Slav Defense: Modern, Exchange Variation",1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.cxd5
"French Defense: Exchange, Monte Carlo Variation",1.e4 e6 2.d4 d5 3.exd5 exd5 4.c4
"Ruy López Opening: Morphy Defense, Exchange Variation",1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Bxc6
Modern Defense: Averbakh Variation,1.d4 d6 2.c4 g6 3.Nc3 Bg7 4.e4
King's Indian Defense: Fianchetto Variation,1.d4 Nf6 2.c4 g6 3.g3 Bg7 4.Bg2
Queen's Gambit Declined: Catalan Opening,1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.g3
"Ruy López Opening: Classical, Central Variation",1.e4 e5 2.Nf3 Nc6 3.Bb5 Bc5 4.c3
Queen's Indian Defense: Petrosian Variation,1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.a3
Nimzo-Indian Defense: Normal Line,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3
"Caro-Kann Defense: Advance, Short Variation with 4.Nf3",1.e4 c6 2.d4 d5 3.e5 Bf5 4.Nf3
Four Knights Game: Spanish Variation,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5
Sicilian Defense: Chekhover Variation,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Qxd4
Catalan Opening: Closed,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2
Nimzo-Indian Defense: Three Knights Variation,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Nf3
"Old Indian Defense: Ukrainian, Two Knights Variation",1.d4 Nf6 2.c4 d6 3.Nc3 e5 4.Nf3
Four Knights Game: Scotch Variation,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.d4
Bogo-Indian Defense: Grünfeld Variation,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Nbd2
"Slav Defense: Modern, Breyer Variation",1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nbd2
Caro-Kann Defense: Main Line,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4
Nimzo-Indian Defense: Romanishin-Kasparov System,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.g3
"English Opening: Mikėnas-Carls, Flohr Variation",1.c4 Nf6 2.Nc3 e6 3.e4 d5 4.e5
Alekhine's Defense: Modern Variation,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3
"Ruy López Opening: Morphy Defense, Exchange Variation",1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Bxc6
Modern Defense: Averbakh Variation,1.d4 d6 2.c4 g6 3.Nc3 Bg7 4.e4
King's Indian Defense: Fianchetto Variation,1.d4 Nf6 2.c4 g6 3.g3 Bg7 4.Bg2
Queen's Gambit Declined: Catalan Opening,1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.g3
"Ruy López Opening: Classical, Central Variation",1.e4 e5 2.Nf3 Nc6 3.Bb5 Bc5 4.c3
Queen's Indian Defense: Petrosian Variation,1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.a3
Nimzo-Indian Defense: Normal Line,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3
"Caro-Kann Defense: Advance, Short Variation with 4.Nf3",1.e4 c6 2.d4 d5 3.e5 Bf5 4.Nf3
Four Knights Game: Spanish Variation,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5
Sicilian Defense: Chekhover Variation,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Qxd4
"French Defense: Exchange, Monte Carlo Variation",1.e4 e6 2.d4 d5 3.exd5 exd5 4.c4
Caro-Kann Defense: Main Line,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4
"English Opening: Anglo-Indian, Anti-Anti-Grünfeld Variation",1.c4 Nf6 2.Nc3 g6 3.Nf3 Bg7 4.e4
"Slav Defense: Modern, Breyer Variation",1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nbd2
"English Opening: Four Knights, Nimzowitsch Variation",1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.e4
Catalan Opening: Closed,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2
Bogo-Indian Defense: Grünfeld Variation,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Nbd2
Four Knights Game: Scotch Variation,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.d4
"Old Indian Defense: Ukrainian, Two Knights Variation",1.d4 Nf6 2.c4 d6 3.Nc3 e5 4.Nf3
Nimzo-Indian Defense: Three Knights Variation,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Nf3
Giuoco Piano Game: Evans Gambit,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4
"French Defense: Advance, Nimzowitsch System",1.e4 e6 2.d4 d5 3.e5 c5 4.Nf3
Dutch Defense: Classical Variation,1.d4 f5 2.c4 Nf6 3.g3 e6 4.Bg2
Four Knights Game: Italian Variation,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bc4
"Ruy López Opening: Jaenisch, Dyckhoff Variation",1.e4 e5 2.Nf3 Nc6 3.Bb5 f5 4.Nc3
Nimzo-Indian Defense: Leningrad Variation,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Bg5
"Caro-Kann Defense: Advance, Tal Variation",1.e4 c6 2.d4 d5 3.e5 Bf5 4.h4
Nimzo-Indian Defense: Kmoch Variation,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.f3
Scotch Game: Scotch Gambit,1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Bc4
"French Defense: Winawer, Winckelmann-Riemer Gambit",1.e4 e6 2.d4 d5 3.Nc3 Bb4 4.a3
Giuoco Piano Game: Evans Gambit,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4
"Slav Defense: Modern, Three Knights Variation",1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3
"French Defense: Advance, Nimzowitsch System",1.e4 e6 2.d4 d5 3.e5 c5 4.Nf3
Queen's Gambit Declined: Three Knights Variation,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3
"French Defense: Tarrasch, Open, Euwe-Keres Line",1.e4 e6 2.d4 d5 3.Nd2 c5 4.Ngf3
Pirc Defense: Classical Variation,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3
"Modern Defense: Standard, Pseudo-Austrian Attack",1.e4 g6 2.d4 Bg7 3.Nc3 d6 4.f4
"Pirc Defense: Main Line, Byrne Variation",1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Bg5
"Modern Defense: Pterodactyl, Semi-Averbakh Variation",1.e4 g6 2.d4 Bg7 3.c4 c5 4.Nf3
Giuoco Piano Game: Giuoco Pianissimo Variation,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.d3
Grünfeld Defense: Stockholm Variation,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Bg5
"Modern Defense: Standard, Two Knights Variation",1.e4 g6 2.d4 Bg7 3.Nc3 d6 4.Nf3
Modern Defense: Geller System,1.e4 g6 2.d4 Bg7 3.Nf3 d6 4.c3
"Modern Defense: Standard, Two Knights Variation",1.e4 g6 2.d4 Bg7 3.Nf3 d6 4.Nc3
Queen's Indian Defense: Kasparov Variation,1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.Nc3
Queen's Gambit Accepted: Showalter Variation,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.Nc3
Queen's Gambit Declined: Traditional Variation,1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.Bg5
Queen's Gambit Accepted: Mannheim Variation,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.Qa4+
Sicilian Defense: Kan Variation,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6
Sicilian Defense: Taimanov Variation,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6
Semi-Slav Defense,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 c6
Sicilian Defense: Normal Line,1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nf6
Grünfeld Defense: Exchange Variation,1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5
"Sicilian Defense: Old Sicilian, Open, Accelerated Dragon Variation",1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 g6
Caro-Kann Defense: Classical Variation,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5
"Slav Defense: Modern, Two Knights Attack",1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4
"Queen's Indian Defense: Fianchetto, Nimzowitsch Variation",1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.g3 Ba6
"Philidor Defense: Hanham, Lion Variation",1.e4 e5 2.Nf3 d6 3.d4 Nd7 4.Nc3 Ngf6
"Philidor Defense: Hanham, Lion Variation",1.e4 e5 2.Nf3 d6 3.d4 Nf6 4.Nc3 Nbd7
Queen's Gambit Declined: Ragozin Defense,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Nf3 d5
"French Defense: Classical, Burn Variation",1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 dxe4
"Queen's Indian Defense: Fianchetto, Traditional Line",1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.g3 Bb7
Queen's Gambit Declined: Ragozin Defense,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 Bb4
English Opening: Neo-Catalan Defense Declined,1.c4 e6 2.Nf3 d5 3.g3 Nf6 4.Bg2 Be7
"Sicilian Defense: Open, Löwenthal Variation",1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 e5
"English Opening: Fianchetto, Ultra-Symmetrical Line",1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7
Nimzo-Indian Defense: Hübner Variation,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 c5
"Ruy López Opening: Berlin, Rio Gambit Accepted",1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O Nxe4
Scotch Game: Schmidt Variation,1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Nxd4 Nf6
"Slav Defense: Modern, Chameleon Variation",1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 a6
Nimzo-Indian Defense: St. Petersburg Variation,1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 b6
"Ruy López Opening: Morphy Defense, Modern Steinitz Defense",1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 d6
"Slav Defense: Modern, Quiet, Schallopp Defense",1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.e3 Bf5
Scotch Game: Classical Variation,1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Nxd4 Bc5
Caro-Kann Defense: Karpov Variation,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7
Four Knights Game: Scotch Variation Accepted,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.d4 exd4
Bogo-Indian Defense: Nimzowitsch Variation,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Bd2 Qe7
"English Opening: Anglo-Indian, King's Knight, Queen's Indian Formation with 4...Bb7",1.c4 Nf6 2.Nf3 e6 3.g3 b6 4.Bg2 Bb7
"French Defense: Rubinstein, Blackburne Defense",1.e4 e6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7
"Scotch Game: Scotch Gambit, Dubois Réti Defense",1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Bc4 Nf6
"Queen's Gambit Declined: Three Knights, Barmen Variation",1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 Nbd7
"French Defense: Tarrasch, Open, Chistyakov Defense",1.e4 e6 2.d4 d5 3.Nd2 c5 4.exd5 Qxd5
"Nimzo-Indian Defense: Classical, Berlin Variation",1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 c5
"Nimzo-Indian Defense: Three Knights, Duchamp Variation",1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Nf3 b6
"English Opening: Reversed Sicilian, Taimanov Variation",1.c4 e5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7
"Nimzo-Indian Defense: Classical, Noa Variation",1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 d5
"Queen's Gambit Declined: Three Knights, Semi-Tarrasch Defense",1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 c5
"Queen's Gambit Declined: Three Knights, Vienna Variation",1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 dxc4
"Caro-Kann Defense: Two Knights, Mindeno, Exchange Line",1.e4 c6 2.Nc3 d5 3.Nf3 Bg4 4.h3 Bxf3
English Opening: Neo-Catalan Defense Accepted,1.c4 e6 2.Nf3 d5 3.g3 Nf6 4.Bg2 dxc4
"Caro-Kann Defense: Accelerated Panov, Modern Variation",1.e4 c6 2.c4 d5 3.exd5 cxd5 4.cxd5 Nf6
"French Defense: Classical, MacCutcheon Variation",1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Bb4
"Alekhine's Defense: Modern, Main Line",1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Bg4
"French Defense: Tarrasch, Open, Delayed Exchange Variation",1.e4 e6 2.d4 d5 3.Nd2 c5 4.exd5 exd5
"Sicilian Defense: Open, Godiva Variation",1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Qb6
"Italian Game: Knight Attack, Normal Variation",1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5 d5
Four Knights Game: Double Spanish Variation,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Bb4
"Slav Defense: Modern, Quiet, Pin Defense",1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.e3 Bg4
"Sicilian Defense: Open, Flohr Variation",1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Qc7
Bogo-Indian Defense: Wade-Smyslov Variation,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Bd2 a5
"Alekhine's Defense: Modern, Larsen Variation",1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 dxe5
"Queen's Gambit Declined: Modern, Knight Defense",1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Nbd7
"Four Knights Game: Spanish Variation, Rubinstein Countergambit",1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Nd4
"Alekhine's Defense: Modern, Alburt Variation",1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 g6
"Slav Defense: Modern, Triangle, Noteboom Variation",1.d4 d5 2.c4 c6 3.Nf3 e6 4.Nc3 dxc4
"Slav Defense: Modern, Triangle, Noteboom Variation",1.d4 d5 2.c4 e6 3.Nc3 c6 4.Nf3 dxc4
"Modern Defense: Standard, Two Knights, Suttles Variation",1.e4 g6 2.d4 Bg7 3.Nc3 d6 4.Nf3 c6
"Modern Defense: Averbakh, Kotov Variation",1.d4 d6 2.c4 g6 3.Nc3 Bg7 4.e4 Nc6
